band,reporter_call,reporter_grid,latitude,longitude,spots_24h,spots_72h,spots_168h,active_days_24h,active_days_72h,active_days_168h,first_seen_168h,last_seen_168h
7,AE0YH,EN41QN,41.562,-90.625,0,176,5659,0,2,4,2026-07-11 21:02:00,2026-07-16 03:12:00
7,AE5AU,EM34RQ,34.688,-92.542,6400,17972,40773,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,AE6RQ,CM97BF,37.229,-121.875,2282,5844,11984,2,4,8,2026-07-10 17:02:00,2026-07-17 16:58:00
7,AE7TF,CN86,46.479,-123.042,511,1487,2893,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,AF7FA,DM43CL,33.479,-111.792,0,2171,2205,0,2,3,2026-07-12 17:42:00,2026-07-16 00:54:00
7,AF7KR,DM45DG,35.271,-111.708,5116,15050,29260,2,4,7,2026-07-11 20:24:00,2026-07-17 16:58:00
7,AH2S,DN30XL,40.479,-112.042,789,2292,4516,1,3,7,2026-07-11 02:50:00,2026-07-17 11:36:00
7,AI4FU-KIWI,EM86CA,36.021,-83.792,949,2726,6337,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,AI5OH,EM12KV,32.896,-97.125,0,9,9,0,1,1,2026-07-16 02:00:00,2026-07-16 02:00:00
7,AI5PC,EM15IU,35.854,-97.292,47,47,47,1,1,1,2026-07-17 07:46:00,2026-07-17 08:46:00
7,AI7NO,CN87WM,47.521,-122.125,0,1491,2932,0,3,6,2026-07-10 17:06:00,2026-07-16 15:06:00
7,AIRSDR,JN45RT,45.812,9.458,3996,18686,46199,2,4,7,2026-07-11 08:56:00,2026-07-17 02:54:00
7,AJ4AV,EM73TW,33.938,-84.375,543,1575,3608,2,4,8,2026-07-10 23:50:00,2026-07-17 11:40:00
7,AJ8S,EM89BT,39.812,-83.875,1316,4954,8811,2,4,6,2026-07-12 21:22:00,2026-07-17 09:46:00
7,AJ9BM,CM87TR,37.729,-122.375,132,829,1820,1,3,7,2026-07-11 04:30:00,2026-07-17 12:04:00
7,AK6RI-1,CM87XI,37.354,-122.042,3702,9933,21871,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,AK8DF,EN91MS,41.771,-80.958,1538,3945,7340,2,4,7,2026-07-11 18:26:00,2026-07-17 16:46:00
7,AL0A,FN43,43.479,-71.042,0,592,592,0,2,2,2026-07-15 08:26:00,2026-07-16 09:42:00
7,AL0A,FN43SV,43.896,-70.458,0,34,34,0,1,1,2026-07-15 08:28:00,2026-07-15 08:34:00
7,ALLURA,JO90QN,50.562,19.375,50,52,149,2,2,6,2026-07-10 18:22:00,2026-07-17 16:54:00
7,BM2KVV,PL05VC,25.104,121.792,340,945,2559,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,BM7GUP,PL02DR,22.729,120.292,50,134,604,2,4,8,2026-07-10 17:10:00,2026-07-17 15:16:00
7,BV0WSPR,PL05RA,25.021,121.458,90,262,346,2,4,4,2026-07-14 09:28:00,2026-07-17 16:54:00
7,BV0WSPR,PL05SA,25.021,121.542,80,362,613,2,4,5,2026-07-13 15:30:00,2026-07-17 15:30:00
7,BV3UN,PL05QA,25.021,121.375,0,0,1,0,0,1,2026-07-13 09:10:00,2026-07-13 09:10:00
7,BV7AU,PL02GS,22.771,120.542,226,452,1240,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,CE3BSK,FF46OL,-33.521,-70.792,0,6,6,0,1,1,2026-07-15 22:10:00,2026-07-15 22:28:00
7,CE3VRT,FF46PI,-33.646,-70.708,0,43,98,0,2,5,2026-07-11 00:24:00,2026-07-16 16:26:00
7,CR7BYS,IN50QX,40.979,-8.625,2059,4813,10208,2,4,8,2026-07-10 20:04:00,2026-07-17 05:18:00
7,CR7CDF,IM58NM,38.521,-8.875,582,1440,4874,2,4,8,2026-07-10 17:00:00,2026-07-17 16:36:00
7,CT1ETL/1,IM58OB,38.062,-8.792,485,1296,2919,2,4,8,2026-07-10 23:26:00,2026-07-17 16:26:00
7,CT2HMR,IN51WG,41.271,-8.125,0,0,1474,0,0,2,2026-07-11 19:06:00,2026-07-12 09:18:00
7,CT7AJC,IN50SF,40.229,-8.458,4416,14053,31885,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,CT7ARF,IM58JS,38.771,-9.208,0,0,10491,0,0,3,2026-07-10 17:00:00,2026-07-12 12:10:00
7,CX5RN,GF25MC,-34.896,-54.958,0,0,66,0,0,2,2026-07-12 13:52:00,2026-07-13 19:40:00
7,CX8BIT,GF15WC,-34.896,-56.125,65,178,731,2,3,7,2026-07-10 17:00:00,2026-07-17 16:28:00
7,DA1MON,JO62,52.479,12.958,415,1061,2536,2,4,8,2026-07-10 17:02:00,2026-07-17 16:54:00
7,DA1MON,JO62PM,52.521,13.292,1,2,2,1,2,2,2026-07-16 15:14:00,2026-07-17 00:44:00
7,DA1RGG,JO31,51.479,6.958,1942,2323,15688,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DA1RGG,JO31BW,51.938,6.125,3,3,33,1,1,6,2026-07-10 18:36:00,2026-07-17 16:32:00
7,DA1RGG,JO31GK,51.438,6.542,1,1,4,1,1,2,2026-07-14 12:16:00,2026-07-17 16:28:00
7,DA1RGG,JO31JA,51.021,6.792,4,4,4,1,1,1,2026-07-17 09:28:00,2026-07-17 09:58:00
7,DA1RGG,JO31JF,51.229,6.792,0,0,50,0,0,3,2026-07-10 17:28:00,2026-07-12 02:48:00
7,DA1RGG,JO31NB,51.062,7.125,0,0,4,0,0,1,2026-07-11 16:02:00,2026-07-11 16:30:00
7,DA1RGG,JO31PE,51.188,7.292,0,0,1,0,0,1,2026-07-11 16:58:00,2026-07-11 16:58:00
7,DA1VID,JO31QN,51.562,7.375,2779,7930,20614,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DANTEKR,PM37JL,37.479,126.792,21,67,145,2,4,8,2026-07-10 17:06:00,2026-07-17 16:18:00
7,DARCT13,JN47WN,47.562,9.875,5686,16051,34736,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DB0BNL,JO43IE,53.188,8.708,0,41,83,0,1,4,2026-07-11 14:02:00,2026-07-16 14:24:00
7,DB0NMB-R,JO51WD,51.146,11.875,0,2179,7076,0,2,5,2026-07-12 17:24:00,2026-07-16 01:30:00
7,DB0SLK,JO51TX,51.979,11.625,1360,3156,8217,2,4,8,2026-07-10 19:28:00,2026-07-17 04:18:00
7,DB1KEC,JO31JA,51.021,6.792,238,238,238,2,2,2,2026-07-16 20:30:00,2026-07-17 09:56:00
7,DB1MIC,JN49LL,49.479,8.958,0,0,166,0,0,1,2026-07-10 19:30:00,2026-07-10 20:52:00
7,DB1UJ-1,JO41JR,51.729,8.792,2305,6868,12534,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,DB5HA,JO31NB,51.062,7.125,0,0,231,0,0,1,2026-07-11 15:22:00,2026-07-11 16:28:00
7,DB6WZ-SDR,JO32QD,52.146,7.375,654,1461,3522,2,4,8,2026-07-10 21:02:00,2026-07-17 05:58:00
7,DB9JH,JO31HF,51.229,6.625,0,34,34,0,1,1,2026-07-15 07:17:00,2026-07-15 07:35:00
7,DB9OH,JO52JI,52.354,10.792,62,147,392,2,4,8,2026-07-10 17:22:00,2026-07-17 16:54:00
7,DC1RDB,JN58SS,48.771,11.542,6141,17667,43848,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DC1SN,JN48VJ,48.396,9.792,0,128,128,0,2,2,2026-07-15 20:52:00,2026-07-16 06:18:00
7,DC1UL,JO41LV,51.896,8.958,236,611,1720,2,4,8,2026-07-10 21:22:00,2026-07-17 06:28:00
7,DC4HP-1,JO43KB,53.062,8.875,7462,20915,54111,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DC5AL-R,JO31LK,51.438,6.958,8138,23120,57676,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DC7JZB/1,JO62QJ,52.396,13.375,0,47,215,0,3,7,2026-07-10 17:32:00,2026-07-16 03:34:00
7,DC7TO,JO62QK,52.438,13.375,6909,19137,46816,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DD0MS,JN49AB,49.062,8.042,1049,2633,7931,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DD5XX,JN48PS,48.771,9.292,4745,13934,53827,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DE0QPG,JO30FK,50.438,6.458,7983,23398,23398,2,4,4,2026-07-14 17:20:00,2026-07-17 16:58:00
7,DF1GA,JO61HB,51.062,12.625,0,0,192,0,0,1,2026-07-13 18:04:00,2026-07-13 18:46:00
7,DF2MG,JN58PT,48.812,11.292,0,0,1396,0,0,3,2026-07-10 17:22:00,2026-07-12 13:26:00
7,DF4OR,JN49CD,49.146,8.208,0,123,123,0,1,1,2026-07-15 16:12:00,2026-07-15 16:42:00
7,DF6TV,JN39OM,49.521,7.208,116,281,731,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DF8OE,JO42JR,52.729,8.792,5315,13686,32035,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DF8WH,JN49BR,49.729,8.125,0,0,10,0,0,1,2026-07-11 14:00:00,2026-07-11 14:02:00
7,DF9JL,JO31GK,51.438,6.542,122,122,122,1,1,1,2026-07-17 16:26:00,2026-07-17 16:54:00
7,DF9JL/QDX,JO31GK,51.438,6.542,765,2404,10184,1,3,8,2026-07-10 17:06:00,2026-07-17 16:58:00
7,DF9JL/QRP,JO31GK,51.438,6.542,12,12,12,1,1,1,2026-07-17 16:28:00,2026-07-17 16:32:00
7,DG1ATN,JO50KQ,50.688,10.875,4295,11780,28650,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DG1ELE,JO30FK,50.438,6.458,6626,8873,47428,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DG1GAC,JN68BM,48.521,12.125,3,3,3,1,1,1,2026-07-17 11:50:00,2026-07-17 11:58:00
7,DG1KPC,JO30TT,50.812,7.625,761,2094,6724,2,4,8,2026-07-10 17:00:00,2026-07-17 16:14:00
7,DG1NDE,JO50PH,50.312,11.292,1752,4939,12884,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DG2MCM,JN57DR,47.729,10.292,0,0,47,0,0,1,2026-07-11 06:36:00,2026-07-11 18:46:00
7,DG2SAT,JN48LP,48.646,8.958,0,0,275,0,0,2,2026-07-12 11:54:00,2026-07-13 08:48:00
7,DG5SEK,JN48NQ,48.688,9.125,532,1437,3272,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DG6FL,JO40DA,50.021,8.292,401,1007,2316,2,4,8,2026-07-10 17:01:00,2026-07-17 16:55:00
7,DG8MAR,JN67KS,47.771,12.875,2067,5649,13040,2,4,8,2026-07-10 20:02:00,2026-07-17 02:30:00
7,DG9FEH,JO40JG,50.271,8.792,0,0,1432,0,0,2,2026-07-11 10:26:00,2026-07-12 11:26:00
7,DG9MHZ,JN58OB,48.062,11.208,0,0,23,0,0,1,2026-07-13 19:18:00,2026-07-13 19:22:00
7,DH2RAL,JO41LU,51.854,8.958,1449,4722,12890,2,4,8,2026-07-10 17:00:00,2026-07-17 16:46:00
7,DH2WS,JO30RQ,50.688,7.458,0,0,440,0,0,3,2026-07-11 12:04:00,2026-07-13 20:42:00
7,DH2WS,JO30RR,50.729,7.458,1400,3701,9481,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DH2WS,JO30SN,50.562,7.542,4,4,4,1,1,1,2026-07-17 02:44:00,2026-07-17 02:50:00
7,DH7AHO,JN48FX,48.979,8.458,0,30,30,0,1,1,2026-07-15 16:06:00,2026-07-15 16:40:00
7,DH8TOM,JO61EH,51.312,12.375,0,0,145,0,0,2,2026-07-13 20:16:00,2026-07-14 07:54:00
7,DJ2DS/1,JO33SN,53.562,7.542,4114,10776,29566,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DJ2MG,JN48NT,48.812,9.125,724,1862,4712,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DJ6DK,JN48FW,48.938,8.458,0,16629,55103,0,3,7,2026-07-10 17:00:00,2026-07-16 15:46:00
7,DJ7KL,JN48FU,48.854,8.458,7876,22606,58668,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DJ9BS,JN39PR,49.729,7.292,3866,10713,25641,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK0KK,JO30FK,50.438,6.458,3126,3451,3451,2,2,2,2026-07-16 14:10:00,2026-07-17 16:58:00
7,DK0KK,JO30GU,50.854,6.542,0,2762,17350,0,2,6,2026-07-10 17:00:00,2026-07-15 13:28:00
7,DK0TE,JN47RP,47.646,9.458,0,0,18,0,0,1,2026-07-11 08:28:00,2026-07-11 08:30:00
7,DK2DB,JN48FW,48.938,8.458,12524,36697,90282,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK3SS,JN49QA,49.021,9.375,2554,7256,18211,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK3WM,JO41RI,51.354,9.458,0,0,2020,0,0,3,2026-07-10 17:00:00,2026-07-13 16:50:00
7,DK4RW/1,JO40OE,50.188,9.208,7396,21672,53605,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK5CH,JO31MK,51.438,7.042,1338,1338,1338,2,2,2,2026-07-16 21:08:00,2026-07-17 04:10:00
7,DK5HH/4,JO43JB,53.062,8.792,74,180,439,2,4,8,2026-07-10 17:12:00,2026-07-17 16:44:00
7,DK5HH/8,JO43JB,53.062,8.792,807,2211,5527,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK6UG,JN49CM,49.521,8.208,4746,24747,67789,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK7MI,JN67DS,47.771,12.292,0,0,1465,0,0,2,2026-07-10 17:06:00,2026-07-11 05:46:00
7,DK8EQ,JO31PE,51.188,7.292,0,0,103,0,0,1,2026-07-11 16:36:00,2026-07-11 17:00:00
7,DK8FT,JN58OE,48.188,11.208,8312,24132,60669,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK8JP,JO31GK,51.438,6.542,168,514,2559,1,3,5,2026-07-13 17:16:00,2026-07-17 10:32:00
7,DK8JP/1,JO31GK,51.438,6.542,4637,12893,33736,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DK8JP/2,JO31GK,51.438,6.542,390,1276,2085,1,3,4,2026-07-14 08:10:00,2026-07-17 09:00:00
7,DK9PA,JO62PL,52.479,13.292,1339,3169,7175,2,4,8,2026-07-10 17:02:00,2026-07-17 16:54:00
7,DL/SV7FSF,JO62QM,52.521,13.375,852,1842,3152,2,4,8,2026-07-10 17:02:00,2026-07-17 16:52:00
7,DL0BR/1,JO43JB,53.062,8.792,4887,13085,31833,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL0PF,JN68RN,48.562,13.458,7572,21063,51294,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL0POR,JN68PL,48.479,13.292,279,697,1865,2,4,8,2026-07-10 17:06:00,2026-07-17 16:52:00
7,DL0PTB,JO52FH,52.312,10.458,0,0,172,0,0,1,2026-07-12 17:42:00,2026-07-12 18:04:00
7,DL1BAJ,JO43AP,53.646,8.042,4767,14355,36400,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL1ECN-8,JO32UO,52.604,7.708,0,0,813,0,0,1,2026-07-10 17:00:00,2026-07-10 19:50:00
7,DL1FX,JN49GR,49.729,8.542,0,199,199,0,1,1,2026-07-16 09:36:00,2026-07-16 10:30:00
7,DL1GCD/1,JN58OH,48.312,11.208,48,48,6610,1,1,4,2026-07-11 04:48:00,2026-07-17 16:58:00
7,DL1GCD/2,JN58OH,48.312,11.208,61,61,6459,1,1,4,2026-07-11 04:48:00,2026-07-17 16:58:00
7,DL1GCD/7,JN58OH,48.312,11.208,48,48,5942,1,1,4,2026-07-11 04:56:00,2026-07-17 16:58:00
7,DL1GCD/8,JN58OH,48.312,11.208,43,43,6285,1,1,4,2026-07-11 04:56:00,2026-07-17 16:58:00
7,DL1HQD,JN47QR,47.729,9.375,0,76,76,0,2,2,2026-07-15 21:34:00,2026-07-16 03:12:00
7,DL1RMT,JO52SD,52.146,11.542,0,0,2,0,0,1,2026-07-13 13:22:00,2026-07-13 13:22:00
7,DL1XH,JO43LW,53.938,8.958,3599,9892,23894,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL2BQA,JN49BI,49.354,8.125,35,71,164,2,4,8,2026-07-10 17:48:00,2026-07-17 16:38:00
7,DL2DBQ,JO31WQ,51.688,7.875,5741,7057,7057,2,2,2,2026-07-16 10:10:00,2026-07-17 16:58:00
7,DL2DKF,JN48CB,48.062,8.208,0,0,5097,0,0,4,2026-07-10 20:40:00,2026-07-13 04:44:00
7,DL2JA,JN58VK,48.438,11.792,7818,23259,54907,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL2JBB,JO41QF,51.229,9.375,0,0,1305,0,0,2,2026-07-11 21:22:00,2026-07-12 07:54:00
7,DL2NGT,JN59ON,49.562,11.208,0,0,99,0,0,1,2026-07-12 04:48:00,2026-07-12 05:26:00
7,DL2NL/1,JO31,51.479,6.958,720,2160,5038,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL2PK,JO31IK,51.438,6.708,731,2083,4876,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DL2RN,JN68CD,48.146,12.208,0,7,81,0,1,3,2026-07-10 19:44:00,2026-07-15 06:30:00
7,DL2RXE,JO62MA,52.021,13.042,0,0,1220,0,0,2,2026-07-13 20:02:00,2026-07-14 04:32:00
7,DL2ZZ,JO31LO,51.604,6.958,3071,7971,19665,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL3EL,JO40HD,50.146,8.625,3503,9231,23365,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL3FBI,JO40TL,50.479,9.625,0,0,11,0,0,1,2026-07-11 10:46:00,2026-07-11 11:06:00
7,DL3MCW,JN58VC,48.104,11.792,629,745,745,1,1,1,2026-07-16 14:16:00,2026-07-16 19:28:00
7,DL3NBY,JO50JA,50.021,10.792,1059,1059,2927,1,1,5,2026-07-11 00:50:00,2026-07-17 09:54:00
7,DL3ROB,JO62LJ,52.396,12.958,230,587,1322,2,4,8,2026-07-10 17:02:00,2026-07-17 16:54:00
7,DL3TU,JN48MM,48.521,9.042,4877,13660,29483,2,4,8,2026-07-10 17:24:00,2026-07-17 16:58:00
7,DL3YAV,JO42GB,52.062,8.542,0,0,1010,0,0,1,2026-07-12 13:18:00,2026-07-12 17:12:00
7,DL4EAI,JO31JE,51.188,6.792,51,125,403,2,4,8,2026-07-10 17:16:00,2026-07-17 16:18:00
7,DL4EAI,JO31JG,51.271,6.792,372,957,2753,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DL4HAO,JO53AS,53.771,10.042,138,412,917,2,4,8,2026-07-10 17:06:00,2026-07-17 16:26:00
7,DL4MHZ,JN58PT,48.812,11.292,0,56,391,0,2,7,2026-07-10 17:30:00,2026-07-16 15:06:00
7,DL4RU,JN69CR,49.729,12.208,5315,17573,51609,2,4,8,2026-07-10 17:00:00,2026-07-17 15:36:00
7,DL4XJ,JO42UN,52.562,9.708,636,1701,3923,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DL4ZBE,JO40BA,50.021,8.125,11299,33659,82955,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL6EBP,JO30DW,50.938,6.292,428,1195,2862,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,DL6OW-MH,JO31KK,51.438,6.875,0,62,62,0,1,1,2026-07-15 14:30:00,2026-07-15 15:00:00
7,DL6YEA,JO53IA,53.021,10.708,257,711,922,2,4,5,2026-07-13 10:40:00,2026-07-17 16:54:00
7,DL7AUQ,JO63KH,53.312,12.875,4370,12259,30929,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL7DL,JO62,52.479,12.958,0,0,186,0,0,1,2026-07-11 05:50:00,2026-07-11 11:02:00
7,DL7ZF,JO62PM,52.521,13.292,14,16,16,1,2,2,2026-07-16 15:10:00,2026-07-17 00:42:00
7,DL8FBN,JO51AE,51.188,10.042,1114,2183,6046,2,3,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,DL8FCL,JN49JX,49.979,8.792,0,106,106,0,2,2,2026-07-15 22:06:00,2026-07-16 06:26:00
