skimmer_call,skimmer_grid,latitude,longitude,continent,advertised_bands,last_seen,spot_policy,skimmer_version
ES5PC,KO38HJ,58.39583,26.62500,EU,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
ET3AA,KJ99JA,9.02083,38.79167,AF,10m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
F4BPO,JN36DG,46.27083,6.29167,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,11 minutes ago,minimal ALL spots,v.1.6.0.145
F4GOU,JN05BX,45.97917,0.12500,EU,12m 15m 17m 20m 30m 40m 60m 80m,online,normal CQ only,v.1.6.0.145
F5AHD,JN37RO,47.60417,7.45833,EU,10m 12m 15m 17m 20m 30m 40m 6m,online,normal ALL spots,v.1.6.0.145
F6KGL,JN18GU,48.85417,2.54167,EU,10m 15m 20m 40m,online,normal ALL spots,v.1.6.0.145
G0KTN,IO81TI,51.35417,-2.37500,EU,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
G0TMX,JO02IF,52.22917,0.70833,EU,10m 12m 15m 17m 20m 30m 40m 6m,online,normal ALL spots,v.1.6.0.145
G4IRN,IO82MO,52.60417,-2.95833,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,minimal ALL spots,v.1.6.0.145
G4KCM,IO91EA,51.02083,-1.62500,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,minimal ALL spots,v.1.6.0.145
G4ZFE,IO91PK,51.43750,-0.70833,EU,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
GI4DOH,IO74DP,54.64583,-5.70833,EU,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,1.6
GX0FRE,IO82UC,52.10417,-2.29167,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
HA1VHF,JN87GF,47.22917,16.54167,EU,10m 15m 20m 2m 30m 40m 4m 6m,online,minimal CQ only,v.1.6.0.145
HA2NA,JN97IT,47.81250,18.70833,EU,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
HA8TKS,JN96UV,46.89583,19.70833,EU,10m 15m 160m 20m 40m 80m,online,normal CQ only,v.1.6.0.145
HB9BXE,JN47EB,47.06250,8.37500,EU,15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
HG8A,JN96RK,46.43750,19.45833,EU,10m 12m 15m 160m 17m 20m 30m 40m 6m 80m,online,normal CQ only,v.1.6.0.145
IK3STG,JN55XK,45.43750,11.95833,EU,10m 15m 160m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
IK4VET,JN54MM,44.52083,11.04167,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
IK7YTT,JN81DC,41.10417,16.29167,EU,10m 15m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
IW9GDC,JM78SD,38.14583,15.54167,EU,15m 20m 40m,online,normal ALL spots,v.1.6.0.145
IZ2CPS,JN45SS,45.77083,9.54167,EU,10m 12m 15m 17m 20m 30m 40m 6m,online,normal CQ only,v.1.6.0.145
JA1CCA,PM95QO,35.60417,139.37500,AS,20m 30m 40m,online,normal ALL spots,v.1.6.0.145
JA1JRS,PM95VS,35.77083,139.79167,AS,10m 15m 160m 20m 30m 40m 6m 80m,online,minimal CQ only,v.1.6.0.145
JE1AEX-1,PM95LL,35.47917,138.95833,AS,10m 12m 15m 20m 6m,online,normal ALL spots,v.1.6.0.145
JE1AEX-2,PM95LL,35.47917,138.95833,AS,160m 17m 30m 40m 80m,57 minutes ago,normal ALL spots,v.1.6.0.145
JH7CSU1,PM95TP,35.64583,139.62500,AS,10m 12m 15m 160m 17m 20m 30m 40m 6m 80m,online,normal ALL spots,v.1.6.0.145
JI1HFJ,PM95SS,35.77083,139.54167,AS,10m 12m 15m 160m 17m 20m 23cm 2m 30m 40m 6m 80m ?,online,normal CQ only,v.1.6.0.145
JJ2VLY,PM95JG,35.27083,138.79167,AS,15m 17m 20m 30m,online,normal ALL spots,v.1.6.0.145
JK1QLQ,PM96MJ,36.39583,139.04167,AS,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
JO1YYP,PM95VW,35.93750,139.79167,AS,10m 15m 160m 20m 30m 40m 6m 80m,online,minimal CQ only,v.1.6.0.145
K1RA-4,FM18CR,38.72917,-77.79167,NA,20m,online,normal CQ only,1.6.0.145
K3GMQ,FN20LH,40.31250,-75.04167,NA,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
K3PA-1,EM29MD,39.14583,-94.95833,NA,10m 12m 15m 17m 20m 30m 40m,online,normal CQ only,v.1.6.0.145
K4PP,EM64LL,34.47917,-87.04167,NA,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
K5EM,CN87UQ,47.68750,-122.29167,NA,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
K5KHK,FN13DC,43.10417,-77.70833,NA,30m 40m 6m,online,normal ALL spots,v.1.6.0.145
K5TR,EM00UF,30.22917,-98.29167,NA,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 80m,online,normal ALL spots,v.1.6.0.145
K6FOD,DM04WC,34.10417,-118.12500,NA,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 80m,59 minutes ago,normal ALL spots,v.1.6.0.145
K7BKG,DN40EC,40.10417,-111.62500,NA,2m,online,normal CQ only,2.1
K7CO,DN40BN,40.56250,-111.87500,NA,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
K7EK,EM77AT,37.81250,-85.95833,NA,20m 30m 40m,online,normal ALL spots,v.1.6.0.145
K9IMM,EN52CV,42.89583,-89.79167,NA,137kHz 160m 472kHz 60m 6m,online,normal CQ only,v.1.6.0.145
K9LC,EN52MG,42.27083,-88.95833,NA,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
KC4YVA,FM17IL,37.47917,-77.29167,NA,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
KD2OGR,FN20SL,40.47917,-74.45833,NA,12m 15m 160m 17m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
KD7EFG,DN31UO,41.60417,-112.29167,NA,10m 12m 160m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,2.1
KG6NFJ,EM79WP,39.64583,-84.12500,NA,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
KH6LC,BK29CW,19.93750,-155.79167,OC,10m 12m 137kHz 15m 160m 17m 20m 30m 40m 472kHz 60m 80m,online,normal ALL spots,v.1.6.0.145
KM3T-1,FN42ET,42.81250,-71.62500,NA,137kHz 160m 472kHz 60m 80m,online,normal CQ only,v.1.6.0.145
KM3T-2,FN42ET,42.81250,-71.62500,NA,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
KM3T-3,FN42ET,42.81250,-71.62500,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
KM3T-5,FN42ET,42.81250,-71.62500,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
KW7MM,DM42MM,32.52083,-110.95833,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
KW7MM-2,DM42MM,32.52083,-110.95833,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
KW7MM-4,DM42LL,32.47917,-111.04167,NA,10m 12m 15m 17m 20m,online,normal ALL spots,v.1.6.0.145
LZ3CB,KN32SN,42.56250,27.54167,EU,15m 160m 17m 20m 30m 40m 80m,online,minimal CQ only,v.1.6.0.145
LZ4UX,KN23TB,43.06250,25.62500,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
LZ5DI,KN12PQ,42.68750,23.29167,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
LZ7AA,KN12QQ,42.68750,23.37500,EU,10m 15m 160m 20m 40m 80m,online,normal CQ only,1.6
MM0ZBH,IO86IB,56.06250,-3.29167,EU,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 80m,online,minimal ALL spots,v.1.6.0.145
MM9PSY,IO86HA,56.02083,-3.37500,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
N0CALL,IO92NH,52.31250,-0.87500,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,minimal ALL spots,v.1.6.0.145
N2CR,FN20SU,40.85417,-74.45833,NA,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
N2EPE,FN13FB,43.06250,-77.54167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
N2YCH,FN31JG,41.27083,-73.20833,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
N4HAC,FM08XT,38.81250,-78.04167,NA,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
N6TV,CM97CF,37.22917,-121.79167,NA,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
N7TUG,CN87TQ,47.68750,-122.37500,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,minimal ALL spots,v.1.6.0.145
N7VVX,DN40BW,40.93750,-111.87500,NA,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
N8DXE,EN91EF,41.22917,-81.62500,NA,160m 40m 80m,online,normal ALL spots,v.1.6.0.145
N9CO,EN52QA,42.02083,-88.62500,NA,10m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
NA3M,FM19JE,39.18750,-77.20833,NA,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
ND7K,DM34OB,34.06250,-112.79167,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
NG7M,DN31XB,41.06250,-112.04167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal CQ only,1.6
NH6HI,BL01FW,21.93750,-159.54167,OC,10m,online,normal CQ only,
NN3RP,FM18LW,38.93750,-77.04167,NA,10m 12m 137kHz 15m 160m 17m 20m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
NU4F,EL96WD,26.14583,-80.12500,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
OE3KLU,JN88FD,48.14583,16.45833,EU,10m,online,normal ALL spots,2.1
OH0K/6,KP03SF,63.22917,21.54167,EU,10m 12m 15m 160m 17m 20m 30m 40m 6m 80m,online,minimal ALL spots,v.1.6.0.145
OH8KA,KP25QC,65.10417,25.37500,EU,10m 15m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
OK1HRA,JO60WA,50.02083,13.87500,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
ON6ZQ,JO20EQ,50.68750,4.37500,EU,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
OZ1AAB,JO65CS,55.77083,12.20833,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
OZ1BZS,JO46LE,56.18750,8.95833,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
PA5KT-4,JO11WL,51.47917,3.87500,EU,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 80m,online,normal CQ only,v.1.6.0.145
PA5WT,JO22HG,52.27083,4.62500,EU,6m,online,normal ALL spots,v.1.6.0.145
PA8MM,JO22LL,52.47917,4.95833,EU,10m 12m 15m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
PE5TT,JO21TV,51.89583,5.62500,EU,10m 12m 15m 17m 20m 30m 40m 6m,online,normal CQ only,v.1.6.0.145
PI4CC,JO21BX,51.97917,4.12500,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
PT2FHC,GH64CG,-15.72917,-47.79167,SA,15m 160m 17m 20m 30m 40m 60m 80m,online,minimal ALL spots,v.1.6.0.145
PY2KNK,GG56NH,-23.68750,-48.87500,SA,10m 12m 15m 160m 20m 30m 40m 80m ?,online,minimal ALL spots,v.1.6.0.145
PY2PE,GG66PO,-23.39583,-46.70833,SA,10m 12m 15m 20m 30m 40m 6m 80m,online,minimal ALL spots,v.1.6.0.145
R4NCU,LO48VI,58.35417,49.79167,EU,20m,online,aggressive ALL spots,2.1
RK3TD,LO16QW,56.93750,43.37500,EU,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,2
RK3TD-2,LO26CI,56.35417,44.20833,EU,10m 15m 160m 20m 40m 80m,online,normal CQ only,v.1.6.0.145
RN4WA,LO66PU,56.85417,53.29167,EU,10m 12m 15m 160m 17m 20m 40m 80m,online,minimal CQ only,v.1.6.0.145
RU9CZD,MO07OD,57.14583,61.20833,AS,10m 15m 160m 20m 30m 40m 80m,online,minimal ALL spots,v.1.6.0.145
S50ARX,JN65TW,45.93750,13.62500,EU,10m 15m 160m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
S50U,JN66XD,46.14583,13.95833,EU,10m 12m 15m 17m 20m 30m 40m 6m 80m,online,normal CQ only,v.1.6.0.145
S53WW,JN76HE,46.18750,14.62500,EU,10m 12m 15m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
S54L,JN75FV,45.89583,14.45833,EU,10m 12m 15m 17m 40m 6m,online,normal CQ only,
S58W,JN65UM,45.52083,13.70833,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
SE5E,JO89LW,59.93750,16.95833,EU,10m 15m 160m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
SK6AW,JO67AQ,57.68750,12.04167,EU,10m 12m 15m 20m 30m 40m 6m 80m,online,normal CQ only,v.1.6.0.145
SM1HEV,JO97BM,57.52083,18.12500,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal CQ only,v.1.6.0.145
SM7IUN,JO65MR,55.72917,13.04167,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal CQ only,v.1.6.0.145
SQ5J,KO02KF,52.22917,20.87500,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
SV1CDN,KM17TX,37.97917,23.62500,EU,15m,online,normal ALL spots,2.1
SZ1A,KM08QR,38.72917,21.37500,EU,15m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
TF3Y,HP94BD,64.14583,-21.87500,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
TI7W,EK70LR,10.72917,-85.04167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
UA4CC,LO31DN,51.56250,46.29167,EU,10m 12m 15m 160m 17m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
UR4RXX,KO51IM,51.52083,30.70833,EU,15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
UT5R,KO51IM,51.52083,30.70833,EU,12m 15m 17m 20m 30m 40m 60m 80m,online,minimal CQ only,v.1.6.0.145
UY2RA,KO51IM,51.52083,30.70833,EU,10m 12m 15m 17m 20m 30m 40m 60m,online,minimal CQ only,v.1.6.0.145
V51YJ,JG87NJ,-22.60417,17.12500,AF,10m 15m 17m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
VE4DRK,EN19LU,49.85417,-97.04167,NA,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
VE6AO,DO31AC,51.10417,-113.95833,NA,10m 12m 15m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
VE6JY,DO33OR,53.72917,-112.79167,NA,20m 40m,online,normal ALL spots,v.1.6.0.145
VE6WZ,DO21ST,51.81250,-114.45833,NA,10m 12m 15m 160m 17m 20m 30m 40m 6m,online,normal ALL spots,v.1.6.0.145
VE6WZ-1,DO21ST,51.81250,-114.45833,NA,160m,online,normal ALL spots,2.1
VE6WZ-2,DO21ST,51.81250,-114.45833,NA,160m,online,normal ALL spots,2.1
VE6WZ-3,DO21ST,51.81250,-114.45833,NA,10m 12m 15m 17m 20m 6m,online,normal ALL spots,v.1.6.0.145
VE7CC,CN89RE,49.18750,-122.54167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
VK2RH,QF56OC,-33.89583,151.20833,OC,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
VK3RASA,QF21WV,-38.10417,145.87500,OC,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
VK6ANC,OF78WE,-31.81250,115.87500,OC,10m 12m 15m 17m 20m 30m 40m,online,normal CQ only,v.1.6.0.145
VU2CPL,MK83TE,13.18750,77.62500,AS,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
VU2OY,MJ88KN,8.56250,76.87500,AS,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
VU2PTT,MK82TX,12.97917,77.62500,AS,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
VU2TUM,ML88LJ,28.39583,76.95833,AS,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
W1NT-2,FN42LU,42.85417,-71.04167,NA,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
W1NT-6,FN42LU,42.85417,-71.04167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
W2MV,FN31BA,41.02083,-73.87500,NA,20m,online,aggressive ALL spots,2.1
W2NAF,FN21EI,41.35417,-75.62500,NA,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
W3DAN,EN91EF,41.22917,-81.62500,NA,160m 40m 80m,online,normal ALL spots,v.1.6.0.145
W3RGA,FN10PV,40.89583,-76.70833,NA,10m 12m 15m 160m 17m 20m 30m 40m 472kHz 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
W3UA,FN42GV,42.89583,-71.45833,NA,10m 12m 6m,online,normal CQ only,6.4
W4KAZ,FM05OS,35.77083,-78.79167,NA,10m 15m 160m 17m 20m 40m 80m,online,normal CQ only,v.1.6.0.145
W6DVN,DM04TA,34.02083,-118.37500,NA,2m,online,normal CQ only,2.1
W6YX,CM87VJ,37.39583,-122.20833,NA,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,minimal ALL spots,v.1.6.0.145
W8WTS,EN91JJ,41.39583,-81.20833,NA,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
W8WWV,EN91HM,41.52083,-81.37500,NA,10m 15m 160m 17m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
WA7LNW,DM37GD,37.14583,-113.45833,NA,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
WB6BEE,FM17DT,37.81250,-77.70833,NA,15m 17m 20m 30m 40m 6m 80m,online,normal ALL spots,v.1.6.0.145
WC2L,FN32BS,42.77083,-73.87500,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
WE9V,EN52XN,42.56250,-88.04167,NA,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
WF8Z,EM79SM,39.52083,-84.45833,NA,,online,normal ALL spots,v.1.6.0.145
WS2C,FM29KR,39.72917,-75.12500,NA,10m 12m 15m 17m 20m 30m 40m,online,normal CQ only,v.1.6.0.145
WS3W,FM19NG,39.27083,-76.87500,NA,10m 12m 15m 160m 17m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
WT8P,CN87XN,47.56250,-122.04167,NA,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
WT9U,EN71AO,41.60417,-85.95833,NA,160m 80m,online,normal ALL spots,v.1.6.0.145
YO2CK,KN15LO,45.60417,22.95833,EU,12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
YO2KAR,KN15KV,45.89583,22.87500,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,minimal ALL spots,v.1.6.0.145
YO5LD,KN05NR,45.72917,21.12500,EU,10m 15m 160m 20m 40m 80m,online,normal ALL spots,v.1.6.0.145
ZF1A,EK99IG,19.27083,-81.29167,NA,10m 12m 15m 17m 20m 30m 40m 6m,online,normal ALL spots,v.1.6.0.145
ZF9CW,FK09CR,19.72917,-79.79167,NA,10m 12m 15m 160m 17m 20m 30m 40m 80m ?,online,normal ALL spots,v.1.6.0.145
ZL2KS,RE68XQ,-41.31250,173.95833,OC,12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
ZL3X,RE66IR,-43.27083,172.70833,OC,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
ZL4YL,RF80LF,-39.77083,176.95833,OC,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
