reporter_call,reporter_grid,latitude,longitude,spots,first_seen,last_seen,active_days
AA5CT,EM13QC,33.104,-96.625,56,2026-07-14 16:20:00,2026-07-17 16:58:00,4
AA6KL,CM87WJ,37.396,-122.125,2829,2026-07-10 17:00:00,2026-07-17 16:46:00,8
AA7NM,CN86OX,46.979,-122.792,43445,2026-07-10 17:36:00,2026-07-17 06:58:00,8
AA7RS,DN40CO,40.604,-111.792,454,2026-07-12 17:58:00,2026-07-12 21:56:00,1
AB0AC,EM37JE,37.188,-93.208,834,2026-07-14 22:54:00,2026-07-17 01:34:00,4
AB0TS,EN35JA,45.021,-93.208,355,2026-07-11 22:30:00,2026-07-16 00:34:00,5
AB1KW,FN43FE,43.188,-71.542,34233,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AB1LF,FN42FE,42.188,-71.542,18,2026-07-17 13:28:00,2026-07-17 14:00:00,1
AB1OF,DM05TI,35.354,-118.375,2395,2026-07-12 05:20:00,2026-07-17 15:36:00,6
AB1WQ,FN42EQ,42.688,-71.625,226,2026-07-10 22:18:00,2026-07-12 23:04:00,3
AB3JF,FN00EU,40.854,-79.625,141,2026-07-13 12:44:00,2026-07-15 14:34:00,2
AB4HR,EM75PT,35.812,-84.708,1,2026-07-11 01:26:00,2026-07-11 01:26:00,1
AB8EF,EN63VB,43.062,-86.208,16,2026-07-10 17:46:00,2026-07-14 19:10:00,3
AC0G,EM38WW,38.938,-92.125,217751,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AC0G/ND,EN16OV,46.896,-96.792,133782,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AC0G/S,EM38WW,38.938,-92.125,82070,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AC0ZW,DM79JU,39.854,-105.208,567,2026-07-16 23:06:00,2026-07-17 04:26:00,2
AC1BC,FN42LH,42.312,-71.042,2531,2026-07-10 17:02:00,2026-07-17 16:52:00,8
AC1FR,FN43VW,43.938,-70.208,288,2026-07-12 20:50:00,2026-07-16 00:06:00,3
AC1UZ,FN43SN,43.562,-70.458,36136,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AC2GW,FN13DF,43.229,-77.708,615,2026-07-13 09:20:00,2026-07-16 18:36:00,4
AC4WW,EM93DL,33.479,-81.708,7523,2026-07-11 05:36:00,2026-07-17 12:36:00,4
AC7IJ,CN87VU,47.854,-122.208,16475,2026-07-10 17:00:00,2026-07-17 16:24:00,8
AC7JW,DN40BU,40.854,-111.875,948,2026-07-12 22:22:00,2026-07-14 03:20:00,3
AC8YJ,EN91OV,41.896,-80.792,13450,2026-07-13 00:56:00,2026-07-17 16:58:00,5
AC9RZ,EN52,42.479,-89.042,21423,2026-07-10 17:06:00,2026-07-17 16:58:00,8
AC9RZ,EN52ET,42.812,-89.625,48,2026-07-10 21:46:00,2026-07-17 04:46:00,8
AC9RZ,EN52WD,42.146,-88.125,67,2026-07-11 02:22:00,2026-07-17 09:22:00,7
ACOZW,DM79JU,39.854,-105.208,516,2026-07-14 01:22:00,2026-07-14 03:24:00,1
AD0RS,DM79LR,39.729,-105.042,3175,2026-07-10 17:00:00,2026-07-16 08:52:00,7
AD0VC,DM79LT,39.812,-105.042,1648,2026-07-10 17:04:00,2026-07-17 16:58:00,8
AD2Q,EN81XJ,41.396,-82.042,1023,2026-07-13 02:28:00,2026-07-17 16:20:00,5
AD7QQ,DN16NR,46.729,-116.875,31,2026-07-11 15:04:00,2026-07-17 16:06:00,7
AD7U,CN88,48.479,-123.042,2117,2026-07-10 17:00:00,2026-07-12 03:32:00,3
AD7U,CN88ER,48.729,-123.625,14,2026-07-10 23:18:00,2026-07-11 11:18:00,2
AD7UI,DN32TV,42.896,-112.375,133,2026-07-11 18:48:00,2026-07-17 15:58:00,2
AD8Y,EN91FL,41.479,-81.542,731,2026-07-12 02:12:00,2026-07-17 16:56:00,5
AE0EW,DN70,40.479,-105.042,400,2026-07-10 17:04:00,2026-07-13 12:40:00,2
AE0EW,DN70MQ,40.688,-104.958,50,2026-07-10 17:02:00,2026-07-13 12:22:00,2
AE0FG,EN11VG,41.271,-96.208,6881,2026-07-10 17:00:00,2026-07-17 13:26:00,8
AE0GQ,DM79OP,39.646,-104.792,3398,2026-07-10 17:06:00,2026-07-17 16:34:00,8
AE0YH,EN41QN,41.562,-90.625,7446,2026-07-10 17:00:00,2026-07-16 03:12:00,6
AE5AU,EM34RQ,34.688,-92.542,105154,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AE5CZ,DM65SC,35.104,-106.458,22,2026-07-12 17:50:00,2026-07-12 19:10:00,1
AE6RQ,CM97BF,37.229,-121.875,23490,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AE7TF,CN86,46.479,-123.042,10293,2026-07-10 17:04:00,2026-07-17 16:58:00,8
AF5QB,EM10AD,30.146,-97.958,26,2026-07-13 04:44:00,2026-07-13 05:18:00,1
AF7FA,DM43CL,33.479,-111.792,5408,2026-07-12 17:42:00,2026-07-16 00:54:00,5
AF7KR,DM45DG,35.271,-111.708,150921,2026-07-11 20:24:00,2026-07-17 16:58:00,7
AF9G,EM69XL,39.479,-86.042,488,2026-07-12 15:50:00,2026-07-12 18:40:00,1
AG5RT,EM10DK,30.438,-97.708,7,2026-07-16 04:14:00,2026-07-16 04:16:00,1
AG6AO,EM92,32.479,-81.042,2620,2026-07-10 17:00:00,2026-07-11 15:56:00,2
AG6NO,DM12KW,32.938,-117.125,72,2026-07-16 22:56:00,2026-07-17 00:04:00,2
AH2S,DN30XL,40.479,-112.042,14111,2026-07-10 17:04:00,2026-07-17 16:58:00,8
AI4FU-KIWI,EM86CA,36.021,-83.792,18633,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AI4Y/S,FM07,37.479,-79.042,585,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AI4Y/S,FM07CC,37.104,-79.792,2513,2026-07-10 17:02:00,2026-07-17 16:52:00,8
AI5OH,EM12KV,32.896,-97.125,7313,2026-07-16 01:36:00,2026-07-17 16:58:00,2
AI5PC,EM15IU,35.854,-97.292,180,2026-07-17 07:40:00,2026-07-17 08:50:00,1
AI6SL,CM87XI,37.354,-122.042,374,2026-07-10 18:36:00,2026-07-17 15:20:00,8
AI7NO,CN87WM,47.521,-122.125,7219,2026-07-10 17:00:00,2026-07-16 15:12:00,7
AIRSDR,JN45RT,45.812,9.458,116411,2026-07-11 08:56:00,2026-07-17 02:56:00,7
AJ4AV,EM73TW,33.938,-84.375,15281,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AJ4HS,CM87XJ,37.396,-122.042,15,2026-07-15 01:36:00,2026-07-15 01:44:00,1
AJ6VO,DM13DQ,33.688,-117.708,10,2026-07-12 21:04:00,2026-07-12 21:18:00,1
AJ8S,EM89BT,39.812,-83.875,19200,2026-07-12 21:08:00,2026-07-17 09:52:00,6
AJ9BM,CM87TR,37.729,-122.375,3927,2026-07-10 17:14:00,2026-07-17 16:58:00,8
AK4T,EM74VB,34.062,-84.208,96,2026-07-12 19:48:00,2026-07-17 14:32:00,5
AK6QE,CM96BO,36.604,-121.875,136,2026-07-10 17:34:00,2026-07-17 04:16:00,7
AK6RI-1,CM87XI,37.354,-122.042,68367,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AK8DF,EN91MS,41.771,-80.958,16689,2026-07-11 18:10:00,2026-07-17 16:58:00,7
AL0A,FN43,43.479,-71.042,1098,2026-07-15 08:26:00,2026-07-16 19:22:00,2
AL0A,FN43SV,43.896,-70.458,34,2026-07-15 08:28:00,2026-07-15 08:34:00,1
AL4U,FM05HD,35.146,-79.375,2896,2026-07-10 17:00:00,2026-07-12 23:24:00,3
AL7B,BP51DE,61.188,-149.708,45,2026-07-11 18:22:00,2026-07-12 08:44:00,2
ALLURA,JO90QN,50.562,19.375,1088,2026-07-10 17:02:00,2026-07-17 16:54:00,6
AUTO,LO96XT,56.812,59.958,4767,2026-07-10 17:00:00,2026-07-17 16:58:00,8
BG5JCJ,OL78WP,28.646,115.875,5,2026-07-11 02:54:00,2026-07-11 04:34:00,1
BI4AOQ,PM01UE,31.188,121.708,1,2026-07-16 05:48:00,2026-07-16 05:48:00,1
BM2KVV,PL05VC,25.104,121.792,10077,2026-07-10 17:00:00,2026-07-17 16:56:00,8
BM4AIK/7,PL02DO,22.604,120.292,781,2026-07-10 17:12:00,2026-07-17 13:14:00,8
BM7GUP,PL02DR,22.729,120.292,1870,2026-07-10 17:08:00,2026-07-17 16:48:00,8
BU2DR,PL04RW,24.938,121.458,10,2026-07-13 05:54:00,2026-07-15 09:54:00,3
BV0WSPR,PL05QA,25.021,121.375,2,2026-07-15 09:54:00,2026-07-17 08:34:00,2
BV0WSPR,PL05RA,25.021,121.458,1697,2026-07-14 09:22:00,2026-07-17 16:54:00,4
BV0WSPR,PL05SA,25.021,121.542,2585,2026-07-13 15:22:00,2026-07-17 16:58:00,5
BV3UN,PL05QA,25.021,121.375,1,2026-07-13 09:10:00,2026-07-13 09:10:00,1
BV7AU,PL02GS,22.771,120.542,3303,2026-07-10 17:00:00,2026-07-17 16:54:00,8
BV7YA,PL02DP,22.646,120.292,24,2026-07-11 02:00:00,2026-07-17 10:56:00,7
CE3BSK,FF46OL,-33.521,-70.792,129,2026-07-10 18:50:00,2026-07-17 16:30:00,8
CE3EDW,FF46QM,-33.479,-70.625,17,2026-07-10 17:00:00,2026-07-12 23:06:00,2
CE3VRT,FF46PI,-33.646,-70.708,98,2026-07-11 00:24:00,2026-07-16 16:26:00,5
CR7BYS,IN50QX,40.979,-8.625,13400,2026-07-10 17:04:00,2026-07-17 16:58:00,8
CR7CDF,IM58NM,38.521,-8.875,42775,2026-07-10 17:00:00,2026-07-17 16:58:00,8
CS5ARTD,IN51WF,41.229,-8.125,107,2026-07-13 14:44:00,2026-07-13 14:56:00,1
CT1ETL/1,IM58OB,38.062,-8.792,14791,2026-07-10 23:12:00,2026-07-17 16:56:00,8
CT1HMN,IM58NN,38.562,-8.875,2887,2026-07-10 17:00:00,2026-07-17 16:56:00,8
CT2HMR,IN51WG,41.271,-8.125,10709,2026-07-11 15:48:00,2026-07-12 09:20:00,2
CT2ICI,IM58KL,38.479,-9.125,1650,2026-07-11 11:22:00,2026-07-11 15:22:00,1
CT7AJC,IN50SF,40.229,-8.458,70945,2026-07-10 17:00:00,2026-07-17 16:58:00,8
CT7ARF,IM58JS,38.771,-9.208,10491,2026-07-10 17:00:00,2026-07-12 12:10:00,3
CX5RN,GF25MC,-34.896,-54.958,67,2026-07-12 13:52:00,2026-07-13 19:40:00,2
CX8BIT,GF15WC,-34.896,-56.125,936,2026-07-10 17:00:00,2026-07-17 16:50:00,7
DA1MON,JO62,52.479,12.958,3055,2026-07-10 17:02:00,2026-07-17 16:54:00,8
DA1MON,JO62PM,52.521,13.292,8,2026-07-16 14:48:00,2026-07-17 00:44:00,2
DA1RGG,JO31,51.479,6.958,36657,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DA1RGG,JO31BW,51.938,6.125,33,2026-07-10 18:36:00,2026-07-17 16:32:00,6
DA1RGG,JO31FC,51.104,6.458,6,2026-07-11 07:00:00,2026-07-11 18:40:00,1
DA1RGG,JO31GK,51.438,6.542,4,2026-07-14 12:16:00,2026-07-17 16:28:00,2
DA1RGG,JO31JA,51.021,6.792,12,2026-07-17 06:34:00,2026-07-17 09:58:00,1
DA1RGG,JO31JF,51.229,6.792,50,2026-07-10 17:28:00,2026-07-12 02:48:00,3
DA1RGG,JO31LM,51.521,6.958,1,2026-07-11 18:40:00,2026-07-11 18:40:00,1
DA1RGG,JO31NB,51.062,7.125,4,2026-07-11 16:02:00,2026-07-11 16:30:00,1
DA1RGG,JO31NM,51.521,7.125,1,2026-07-11 18:38:00,2026-07-11 18:38:00,1
DA1RGG,JO31PE,51.188,7.292,1,2026-07-11 16:58:00,2026-07-11 16:58:00,1
DA1VID,JO31QN,51.562,7.375,39749,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DA6AM,JO41SF,51.229,9.542,53,2026-07-13 06:44:00,2026-07-13 12:34:00,1
DANTEKR,PM37JL,37.479,126.792,368,2026-07-10 17:06:00,2026-07-17 16:22:00,8
DARCT13,JN47WN,47.562,9.875,134789,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DB0BNL,JO43IE,53.188,8.708,215,2026-07-11 14:02:00,2026-07-16 16:04:00,4
DB0NMB-R,JO51WD,51.146,11.875,12485,2026-07-10 17:00:00,2026-07-17 13:32:00,8
DB0SLK,JO51TX,51.979,11.625,18072,2026-07-10 18:00:00,2026-07-17 16:58:00,8
DB0STB,JN49QB,49.062,9.375,16261,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DB0VIE,JO31EH,51.312,6.375,1638,2026-07-10 17:00:00,2026-07-17 16:56:00,7
DB1KEC,JO31JA,51.021,6.792,387,2026-07-16 15:56:00,2026-07-17 13:12:00,2
DB1MIC,JN49LL,49.479,8.958,261,2026-07-10 19:26:00,2026-07-10 21:02:00,1
DB1UJ-1,JO41JR,51.729,8.792,28505,2026-07-10 17:00:00,2026-07-17 16:54:00,8
DB3GW,JO43GE,53.188,8.542,54,2026-07-11 21:10:00,2026-07-16 23:26:00,4
DB4JW,JO31JN,51.562,6.792,7,2026-07-13 09:48:00,2026-07-13 10:06:00,1
DB4PK,JO50HP,50.646,10.625,14,2026-07-13 12:30:00,2026-07-13 12:36:00,1
DB5HA,JO31NB,51.062,7.125,231,2026-07-11 15:22:00,2026-07-11 16:28:00,1
DB6WZ-SDR,JO32QD,52.146,7.375,7214,2026-07-10 21:02:00,2026-07-17 16:32:00,8
DB9JH,JO31HF,51.229,6.625,96,2026-07-12 09:03:00,2026-07-15 08:23:00,2
DB9LG,JO40ON,50.562,9.208,121,2026-07-11 08:00:00,2026-07-11 21:40:00,1
DB9OH,JO52JI,52.354,10.792,1510,2026-07-10 17:06:00,2026-07-17 16:54:00,8
DC1RDB,JN58SS,48.771,11.542,132264,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC1SAF,JN48LM,48.521,8.958,57505,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC1SN,JN48VJ,48.396,9.792,1005,2026-07-14 19:04:00,2026-07-16 06:18:00,3
DC1UI,JN49AQ,49.688,8.042,11516,2026-07-10 17:02:00,2026-07-17 13:16:00,8
DC1UL,JO41LV,51.896,8.958,5448,2026-07-10 17:04:00,2026-07-17 16:58:00,8
DC4HF,JO52MF,52.229,11.042,23512,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC4HP-1,JO43KB,53.062,8.875,112137,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC5AL-R,JO31LK,51.438,6.958,149849,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC7JZB/1,JO62QJ,52.396,13.375,888,2026-07-10 17:22:00,2026-07-16 03:56:00,7
DC7JZB/2,JO62QL,52.479,13.375,2775,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC7TO,JO62QK,52.438,13.375,108417,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DC7TU,JN49QB,49.062,9.375,290,2026-07-14 21:10:00,2026-07-15 05:48:00,2
DD0MS,JN49AB,49.062,8.042,14020,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DD1NK,JO31KD,51.146,6.875,5758,2026-07-10 17:02:00,2026-07-17 16:58:00,8
DD5XX,JN48PS,48.771,9.292,158918,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DE0QPG,JO30FK,50.438,6.458,50950,2026-07-14 17:20:00,2026-07-17 16:58:00,4
DE1LON,JO31HG,51.271,6.625,12609,2026-07-11 12:48:00,2026-07-17 16:58:00,7
DF1AJ,JN48FW,48.938,8.458,5,2026-07-17 14:44:00,2026-07-17 14:58:00,1
DF1DGE,JO31NJ,51.396,7.125,141,2026-07-15 10:54:00,2026-07-15 13:46:00,1
DF1GA,JO61HB,51.062,12.625,2512,2026-07-13 11:40:00,2026-07-17 16:58:00,2
DF1QQ/SDR,JO32SD,52.146,7.542,15709,2026-07-10 17:00:00,2026-07-17 16:56:00,8
DF2MG,JN58PT,48.812,11.292,4933,2026-07-10 17:08:00,2026-07-16 18:20:00,6
DF2SY,JN48,48.479,8.958,77,2026-07-15 15:06:00,2026-07-15 16:20:00,1
DF2SY,JN48WK,48.438,9.875,276,2026-07-16 13:20:00,2026-07-17 09:52:00,2
DF3HM,JO43XK,53.438,9.958,69,2026-07-14 17:22:00,2026-07-14 17:44:00,1
DF3HW,JO53HU,53.854,10.625,3,2026-07-13 20:42:00,2026-07-13 20:42:00,1
DF4MC,JO43XL,53.479,9.958,159,2026-07-15 08:20:00,2026-07-15 12:06:00,1
DF4OR,JN49CD,49.146,8.208,123,2026-07-15 16:12:00,2026-07-15 16:42:00,1
DF4PV,JN49AX,49.979,8.042,615,2026-07-10 17:24:00,2026-07-17 16:54:00,8
DF6DBF,JO31SI,51.354,7.542,1066,2026-07-11 12:44:00,2026-07-11 17:10:00,1
DF6NN,JO61VB,51.062,13.792,9,2026-07-11 11:46:00,2026-07-11 12:36:00,1
DF6TV,JN39OM,49.521,7.208,2369,2026-07-10 17:06:00,2026-07-17 16:50:00,8
DF8JO,JO30SN,50.562,7.542,262,2026-07-10 18:12:00,2026-07-17 13:30:00,8
DF8JO/SDR,JO30SN,50.562,7.542,88,2026-07-11 02:04:00,2026-07-16 17:50:00,6
DF8OE,JO42JR,52.729,8.792,61623,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DF8WH,JN49BR,49.729,8.125,599,2026-07-11 14:00:00,2026-07-11 17:58:00,1
DF9JL,JO31GK,51.438,6.542,122,2026-07-17 16:26:00,2026-07-17 16:54:00,1
DF9JL/QDX,JO31GK,51.438,6.542,22313,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DF9JL/QRP,JO31GK,51.438,6.542,14,2026-07-17 16:28:00,2026-07-17 16:32:00,1
DG1ATN,JO50KQ,50.688,10.875,48305,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG1DBX,JO31WD,51.146,7.875,5206,2026-07-10 17:00:00,2026-07-16 20:50:00,5
DG1ELE,JO30FK,50.438,6.458,149109,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG1GAC,JN68BM,48.521,12.125,3222,2026-07-10 17:06:00,2026-07-17 16:54:00,8
DG1KPC,JO30TT,50.812,7.625,14115,2026-07-10 17:00:00,2026-07-17 16:54:00,8
DG1NDE,JO50PH,50.312,11.292,26187,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG2MCM,JN57DR,47.729,10.292,95,2026-07-11 06:20:00,2026-07-11 18:46:00,1
DG2NBN,JN59NS,49.771,11.125,106,2026-07-10 20:54:00,2026-07-10 22:38:00,1
DG2SAT,JN48LP,48.646,8.958,275,2026-07-12 11:54:00,2026-07-13 08:48:00,2
DG3DJ,JO30XT,50.812,7.958,471,2026-07-17 04:54:00,2026-07-17 08:20:00,1
DG3SDK,JN48PR,48.729,9.292,24521,2026-07-10 17:00:00,2026-07-17 16:56:00,8
DG5DH,JO41DS,51.771,8.292,15714,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG5SEK,JN48NQ,48.688,9.125,6862,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG6FL,JO40DA,50.021,8.292,2559,2026-07-10 17:01:00,2026-07-17 16:57:00,8
DG7LAN,JO43TQ,53.688,9.625,70,2026-07-12 15:22:00,2026-07-12 16:10:00,1
DG7RF,JO52QI,52.354,11.375,24,2026-07-11 09:24:00,2026-07-12 16:14:00,2
DG7RJ,JN58TH,48.312,11.625,26122,2026-07-10 17:00:00,2026-07-17 16:56:00,8
DG7SFI-2,JO54ED,54.146,10.375,33699,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DG8JT,JO30RN,50.562,7.458,3,2026-07-13 19:24:00,2026-07-13 19:32:00,1
DG8MAR,JN67KS,47.771,12.875,27021,2026-07-10 17:02:00,2026-07-17 16:58:00,8
DG9FEH,JO40JG,50.271,8.792,2352,2026-07-11 07:50:00,2026-07-12 15:46:00,2
DG9MHZ,JN58OB,48.062,11.208,67,2026-07-13 19:04:00,2026-07-13 19:24:00,1
DH2RAL,JO41LU,51.854,8.958,24758,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DH2WS,JO30QP,50.646,7.375,1,2026-07-11 21:50:00,2026-07-11 21:50:00,1
DH2WS,JO30RQ,50.688,7.458,687,2026-07-11 12:00:00,2026-07-13 20:42:00,3
DH2WS,JO30RR,50.729,7.458,12588,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DH2WS,JO30SN,50.562,7.542,5,2026-07-17 02:44:00,2026-07-17 02:50:00,1
DH3HB,JN49NH,49.312,9.125,9,2026-07-12 13:40:00,2026-07-12 14:20:00,1
DH4ST,JO60LT,50.812,12.958,130,2026-07-16 16:49:00,2026-07-16 17:39:00,1
DH6MB,JO31PV,51.896,7.292,118,2026-07-12 14:52:00,2026-07-12 15:43:00,1
DH6YHO,JO31XW,51.938,7.958,11594,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DH7AHO,JN48FX,48.979,8.458,31,2026-07-15 16:06:00,2026-07-16 11:24:00,2
DH8TOM,JO61EH,51.312,12.375,151,2026-07-13 18:04:00,2026-07-14 07:54:00,2
DH8WR,JO50PR,50.729,11.292,1402,2026-07-10 17:42:00,2026-07-17 05:06:00,8
DJ2DS/1,JO33SN,53.562,7.542,91887,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DJ2MG,JN48NT,48.812,9.125,9512,2026-07-10 17:04:00,2026-07-17 16:58:00,8
DJ2RD,JO40CC,50.104,8.208,1065,2026-07-11 09:54:00,2026-07-14 10:06:00,4
DJ3PB,JN47TS,47.771,9.625,142,2026-07-14 12:00:00,2026-07-14 12:22:00,1
DJ6DK,JN48FW,48.938,8.458,189858,2026-07-10 17:00:00,2026-07-16 15:46:00,7
DJ7KL,JN48FU,48.854,8.458,59556,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DJ8XD,JO52FF,52.229,10.458,4114,2026-07-11 09:54:00,2026-07-13 18:52:00,2
DJ9BS,JN39PR,49.729,7.292,41036,2026-07-10 17:00:00,2026-07-17 16:58:00,8
DK0KK,JO30FK,50.438,6.458,8045,2026-07-16 14:08:00,2026-07-17 16:58:00,2
DK0KK,JO30GU,50.854,6.542,40929,2026-07-10 17:00:00,2026-07-15 13:28:00,6
DK0TE,JN47RP,47.646,9.458,18,2026-07-11 08:28:00,2026-07-11 08:30:00,1
DK1BL/2,JO31FH,51.312,6.458,2430,2026-07-10 18:04:00,2026-07-17 16:54:00,8
